2,0000252,인빈서블 빌리프,모험가 전사,현재 HP가 최대 HP의 15% 이하가 되었을 때 자동 발동되어 3초 동안 1초 마다 최대 HP의 20% ~ 35% 회복\\n[재발동 대기시간 : 410초 ~ 210초]
1,0000255,임피리컬 널리지,모험가 마법사,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 15% ~ 25% 확률로 파악, 파악한 약점은 10초 동안 지속되며 최대 3회까지 중첩\\n중첩 당 데미지 1% ~ 3%, 방어율 무시 1% ~ 3% 증가"
1,0000258,어드벤쳐러 큐리어스,모험가 궁수,"몬스터 컬렉션 등록 확률 10% ~ 35%, 크리티컬 확률 3% ~ 10% 증가"
1,0000261,시프 커닝,모험가 도적,적에게 상태 이상을 적용시키면 10초 동안 데미지 3% ~ 18% 증가\\n[재발동 대기시간 : 20초]
1,0000265,파이렛 블레스,모험가 해적,"올스탯 20 ~ 70 , 최대 HP/MP 350 ~ 1225 증가\\n피격 데미지 5% ~ 15% 감소"
1,10000255,시그너스 블레스,시그너스 기사단,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가"
2,50001214,빛의 수호,미하일,10초 / 15초 동안 상태 이상 내성 100 증가\\n[재사용 대기시간 : 120초]
3,20000297,콤보킬 어드밴티지,아란,콤보킬 구슬 경험치 획득량 400% / 650% 증가
3,20010294,룬 퍼시스턴스,에반,룬 버프 지속시간 30% / 50% 증가
1,20040218,퍼미에이트,루미너스,방어율 무시 10% / 15% 증가
3,20021110,엘프의 축복,메르세데스,사용 시 에우렐로 귀환\\n[재사용 대기시간 : 600초]\\n[추가효과 : 영구적으로 경험치 10% / 15% 추가 획득]
1,20030204,데들리 인스팅트,팬텀,크리티컬 확률 10% / 15% 증가
2,20050286,구사 일생,은월,"사망에 이르는 공격을 당할 시, 5% / 10% 확률로 생존"
1,30010112,데몬스 퓨리,데몬슬레이어,보스 몬스터 공격 시 데미지 10% / 15% 증가
1,30010241,와일드 레이지,데몬어벤져,데미지 5% / 10% 증가
2,30000074,스피릿 오브 프리덤,레지스탕스,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제"
1,30020233,하이브리드 로직,제논,올스탯 5% / 10% 증가
2,60000222,아이언 윌,카이저,HP 5% / 10% 증가
1,60030241,프라이어 프리퍼레이션,카인,"적 8명 처치, 혹은 보스 몬스터에게 5번 공격 적중 시 사전 준비 1번 완료, 사전 준비를 5번 마치면 20초 동안 데미지 9% / 17% 증가\\n[재발동 대기시간 : 40초]"
1,60020218,인텐시브 인썰트,카데나,"캐릭터보다 레벨이 낮은 몬스터 공격 시 데미지 3% / 6% 증가, 상태 이상에 걸린 몬스터 공격 시 데미지 3% / 6% 증가"
1,60011219,소울 컨트랙트,엔젤릭버스터,10초 동안 스킬 데미지 30% / 45% 증가\\n[재사용 대기시간 : 60초]
1,80002857,노블레스,아델,"보스 몬스터 공격 시 데미지 2% / 4% 증가\\n같은 맵에 있는 자신을 포함한 파티원 1명 당 데미지 1% / 2% 증가, 최대 4% / 8%까지 증가\\n파티를 하지 않았을 때는 자신만 파티한 것으로 취급"
1,80000268,전투의 흐름,일리움,"일정 거리 이동 시 발동되며 최대 6회 중첩가능, 지속시간 5초\\n각 중첩당 데미지 1% / 2% 증가"
1,150030241,이네이트 기프트,칼리,데미지 3% / 5% 증가\\n공격 시 100% 확률로 5초 동안 매초 최대 HP/MP의 1% / 2% 회복\\n[재발동 대기시간 : 30초]
1,80000514,무아,아크,"전투 상태가 5초 지속되면 발동되며 최대 5회 중첩가능, 지속시간 5초\\n발동 시 데미지 1% 증가, 중첩당 데미지 1% / 2% 추가 증가"
1,160010001,자연의 벗,라라,"데미지 3% / 5% 증가\\n일반 몬스터 20명 처치 시 자연의 도움 발동, 자연의 도움 발동 시 30초 동안 일반 몬스터 공격 시 데미지 7% / 11% 증가\\n[재발동 대기시간 : 30초]"
1,160000001,자신감,호영,"방어율 무시 5% / 10% 추가, HP가 100%인 몬스터 공격 시 데미지 9% / 14% 증가"
1,100000271,륀느의 축복,제로,"받는 데미지 3% ~ 15% 감소, 공격 시 대상의 방어율 2% ~ 10% 무시"
1,80000188,판단,키네시스,크리티컬 데미지 2% / 4% 증가
